trial_id,initial_capital,final_capital,total_net_profit,total_return_pct,total_trades,winning_trades,losing_trades,breakeven_trades,win_rate_pct,loss_rate_pct,average_pnl_per_trade,average_win_pnl,average_loss_pnl,profit_factor,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,total_fees_paid,average_holding_period_hours,longest_win_streak,longest_loss_streak,time_in_market_pct,turnover_rate,id,symbol,timeframe,strategy_name,position_sizer_name,stop_manager_name,strategy_params,deflated_sharpe_ratio
4,10000.0,7517.977265406006,-2482.022734594043,-24.82022734594043,486,134,352,0,27.572016460905353,72.42798353909465,-5.107042663773751,53.77452333533946,-27.52218426570889,0.7437993699018773,87.29258001519926,1.236996052550567,2.8249354586384716,-0.15277578594828564,2693.7269078716545,17.48148148138889,4,13,48.57077444020799,293.59387430615953,4,PF_ETHUSD,4h,EhlersInstantaneousTrendlineStrategy,ATRBasedPositionSizer,PercentageStopManager,"{'it_lag_trigger': 1, 'atr_period': 14, 'enableshorting': True, 'sentimentfilter_long_threshold': 0.1, 'sentimentfilter_short_threshold': -0.1}",0.573023085634521
7,10000.0,4216.156179320766,-5783.843820679252,-57.83843820679252,486,121,365,0,24.897119341563787,75.1028806584362,-11.90091321127418,49.527167618333166,-32.26474274656867,0.5088711049586476,92.75962286614278,1.1940415094242598,2.7483021805508856,-0.3790904103238766,2596.227457729102,19.34979423861111,3,15,53.76171878951459,311.9782370173236,7,PF_ETHUSD,4h,EhlersInstantaneousTrendlineStrategy,ATRBasedPositionSizer,ATRStopManager,"{'it_lag_trigger': 1, 'atr_period': 14, 'enableshorting': True, 'sentimentfilter_long_threshold': 0.1, 'sentimentfilter_short_threshold': -0.1}",0.5477085678126405
0,10000.0,9655.710109680878,-344.2898903191257,-3.442898903191257,488,135,353,0,27.66393442622951,72.3360655737705,-0.7055120703260772,8.190334692026342,-4.107606441197399,0.762556252092686,12.287997543358223,0.023653681110417046,0.03244700964943563,-0.14180000995109976,309.23366222247785,17.467213114722224,4,13,48.73084761397516,31.237689635392787,0,PF_ETHUSD,4h,EhlersInstantaneousTrendlineStrategy,OptimalFPositionSizer,PercentageStopManager,"{'it_lag_trigger': 1, 'atr_period': 14, 'enableshorting': True, 'sentimentfilter_long_threshold': 0.1, 'sentimentfilter_short_threshold': -0.1}",0.05158843728844812
8,10000.0,8964.325306552417,-1035.674693447598,-10.35674693447598,488,135,353,0,27.66393442622951,72.3360655737705,-2.122284207884422,24.227813835304612,-12.199517170577113,0.7595050194770387,34.04487665965908,0.3488434483100832,0.4933510453295156,-0.15678280872994832,922.4628262675086,17.467213114722224,4,13,48.73084761397516,95.18305482140305,8,PF_ETHUSD,4h,EhlersInstantaneousTrendlineStrategy,FixedFractionalPositionSizer,PercentageStopManager,"{'it_lag_trigger': 1, 'atr_period': 14, 'enableshorting': True, 'sentimentfilter_long_threshold': 0.1, 'sentimentfilter_short_threshold': -0.1}",0.1264091788641366
3,10000.0,7056.543141448511,-2943.4568585515353,-29.434568585515354,488,122,366,0,25.0,75.0,-6.031673890474457,6.012286946747628,-10.046327502881821,0.19948539885256528,31.76754680592039,-0.3427820248709094,-0.46044595360117024,-0.5051393237125098,293.1290358351873,19.32786885222222,3,15,53.92179196328175,31.15775876467204,3,PF_ETHUSD,4h,EhlersInstantaneousTrendlineStrategy,OptimalFPositionSizer,ATRStopManager,"{'it_lag_trigger': 1, 'atr_period': 14, 'enableshorting': True, 'sentimentfilter_long_threshold': 0.1, 'sentimentfilter_short_threshold': -0.1}",0.014725956777276988
5,10000.0,7440.48849505658,-2559.511504943432,-25.59511504943432,486,142,344,0,29.218106995884774,70.78189300411523,-5.266484578072905,47.59052327666884,-27.085365727413976,0.7252966603357889,86.75719837095485,1.2314441320790237,2.1704889698259198,-0.1588976005510737,2655.196191213738,11.851851851666666,4,13,32.929338603530844,299.30965405919414,5,PF_ETHUSD,4h,EhlersInstantaneousTrendlineStrategy,ATRBasedPositionSizer,TripleBarrierStopManager,"{'it_lag_trigger': 1, 'atr_period': 14, 'enableshorting': True, 'sentimentfilter_long_threshold': 0.1, 'sentimentfilter_short_threshold': -0.1}",0.5697657839118767
9,10000.0,7072.867177139486,-2927.132822860491,-29.271328228604908,488,143,345,0,29.303278688524593,70.69672131147541,-5.998222997664941,31.684348933678294,-21.61737600109127,0.6075174450227115,40.77932270857856,0.2380854960376218,0.3341952437740433,-0.3911211291459615,906.1736553171277,11.860655737499998,4,13,33.089411777298004,95.06376992793368,9,PF_ETHUSD,4h,EhlersInstantaneousTrendlineStrategy,FixedFractionalPositionSizer,TripleBarrierStopManager,"{'it_lag_trigger': 1, 'atr_period': 14, 'enableshorting': True, 'sentimentfilter_long_threshold': 0.1, 'sentimentfilter_short_threshold': -0.1}",0.09525034409864236
1,10000.0,8964.479926761256,-1035.520073238736,-10.35520073238736,488,143,345,0,29.303278688524593,70.69672131147541,-2.121967363194131,11.201550046383593,-7.644468782236492,0.6073621929573932,15.221698388224514,-0.07653377233177251,-0.10414757109801354,-0.3506068812254066,307.24758078607454,11.860655737499998,4,13,33.089411777298004,31.214354929915253,1,PF_ETHUSD,4h,EhlersInstantaneousTrendlineStrategy,OptimalFPositionSizer,TripleBarrierStopManager,"{'it_lag_trigger': 1, 'atr_period': 14, 'enableshorting': True, 'sentimentfilter_long_threshold': 0.1, 'sentimentfilter_short_threshold': -0.1}",0.03758662015924817
11,10000.0,3336.12157446771,-6663.878425532264,-66.63878425532265,488,122,366,0,25.0,75.0,-13.655488576910377,16.07366155090904,-23.565205286183524,0.22736433307363213,69.84172501488463,-0.026459730368769883,-0.03651580078607406,-0.6063653208709515,791.8265370700708,19.32786885222222,3,15,53.92179196328175,94.04903144678711,11,PF_ETHUSD,4h,EhlersInstantaneousTrendlineStrategy,FixedFractionalPositionSizer,ATRStopManager,"{'it_lag_trigger': 1, 'atr_period': 14, 'enableshorting': True, 'sentimentfilter_long_threshold': 0.1, 'sentimentfilter_short_threshold': -0.1}",0.04413877944553134
6,10000.0,235813.27859293114,225813.2785929313,2258.1327859293133,486,281,205,0,57.818930041152264,42.181069958847736,464.63637570561997,1196.7617875493572,-538.9111400411615,3.043988528747184,82.8791704103645,1.407453553876546,3.227451659049012,4.684511777892809,10241.429102855924,16.02469135777778,14,11,44.52320990352399,191.93967764757707,6,PF_ETHUSD,4h,EhlersInstantaneousTrendlineStrategy,ATRBasedPositionSizer,ParabolicSARStop,"{'it_lag_trigger': 1, 'atr_period': 14, 'enableshorting': True, 'sentimentfilter_long_threshold': 0.1, 'sentimentfilter_short_threshold': -0.1}",0.6696110360604325
